Year,Job,NumWorkers,TotalWorkers
2000,Food service,1256,17433
2000,Hotels,12861,17433
2000,Travel & related services,3316,17433
2001,Food service,1269,19522
2001,Hotels,14601,19522
2001,Travel & related services,3652,19522
2002,Food service,1252,20729
2002,Hotels,15503,20729
2002,Travel & related services,3974,20729
2003,Food service,1719,21860
2003,Hotels,16096,21860
2003,Travel & related services,4045,21860
2004,Food service,1623,22613
2004,Hotels,16853,22613
2004,Travel & related services,4137,22613
2005,Food service,1809,25377
2005,Hotels,19226,25377
2005,Travel & related services,4342,25377
2006,Food service,1805,25798
2006,Hotels,19536,25798
2006,Travel & related services,4457,25798
2007,Food service,1728,26622
2007,Hotels,20519,26622
2007,Travel & related services,4375,26622
2008,Food service,2073,29000
2008,Hotels,22669,29000
2008,Travel & related services,4258,29000
2009,Food service,2585,27695
2009,Hotels,20904,27695
2009,Travel & related services,4206,27695
2010,Food service,2572,27741
2010,Hotels,21270,27741
2010,Travel & related services,3899,27741
2011,Food service,2678,28608
2011,Hotels,21830,28608
2011,Travel & related services,4100,28608
2012,Food service,3006,29177
2012,Hotels,22225,29177
2012,Travel & related services,3946,29177
2013,Food service,3157,29419
2013,Hotels,22397,29419
2013,Travel & related services,3865,29419
2014,Food service,3266,29631
2014,Hotels,22559,29631
2014,Travel & related services,3806,29631
2015,Food service,3397,29773
2015,Hotels,22583,29773
2015,Travel & related services,3793,29773
2016,Food service,3546,30940
2016,Hotels,23639,30940
2016,Travel & related services,3755,30940
2017,Food service,3416,31274
2017,Hotels,24194,31274
2017,Travel & related services,3664,31274
2018,Food service,3539,31455
2018,Hotels,24312,31455
2018,Travel & related services,3604,31455
2019,Food service,3714,31827
2019,Hotels,24599,31827
2019,Travel & related services,3514,31827
2020,Food service,3850,32873
2020,Hotels,25472,32873
2020,Travel & related services,3551,32873
