Year,Sector,MoneySpent
1998,Accommodation,1200
1998,Meal & Beverages,300
1998,Transport,100
1998,Sightseeing,100
1998,Entertainment,100
1998,Shopping,300
1998,Other,100
2000,Accommodation,1200
2000,Meal & Beverages,400
2000,Transport,100
2000,Sightseeing,100
2000,Entertainment,100
2000,Shopping,300
2000,Other,100
2002,Accommodation,1400
2002,Meal & Beverages,500
2002,Transport,200
2002,Sightseeing,100
2002,Entertainment,100
2002,Shopping,400
2002,Other,100
2004,Accommodation,1700
2004,Meal & Beverages,600
2004,Transport,200
2004,Sightseeing,100
2004,Entertainment,100
2004,Shopping,400
2004,Other,100
2006,Accommodation,2200
2006,Meal & Beverages,700
2006,Transport,200
2006,Sightseeing,100
2006,Entertainment,100
2006,Shopping,500
2006,Other,200
2009,Accommodation,2400
2009,Meal & Beverages,600
2009,Transport,300
2009,Sightseeing,200
2009,Entertainment,100
2009,Shopping,500
2009,Other,100
2010,Accommodation,2400
2010,Meal & Beverages,600
2010,Transport,600
2010,Sightseeing,200
2010,Entertainment,100
2010,Shopping,600
2010,Other,100
2011,Accommodation,2600
2011,Meal & Beverages,500
2011,Transport,300
2011,Sightseeing,200
2011,Entertainment,100
2011,Shopping,500
2011,Other,0
2012,Accommodation,2500
2012,Meal & Beverages,600
2012,Transport,300
2012,Sightseeing,200
2012,Entertainment,100
2012,Shopping,500
2012,Other,0
2013,Accommodation,2700
2013,Meal & Beverages,500
2013,Transport,400
2013,Sightseeing,300
2013,Entertainment,200
2013,Shopping,500
2013,Other,100
2015,Accommodation,2500
2015,Meal & Beverages,500
2015,Transport,300
2015,Sightseeing,300
2015,Entertainment,200
2015,Shopping,400
2015,Other,0
2016,Accommodation,2600
2016,Meal & Beverages,400
2016,Transport,200
2016,Sightseeing,300
2016,Entertainment,200
2016,Shopping,400
2016,Other,100
2017,Accommodation,2700
2017,Meal & Beverages,500
2017,Transport,200
2017,Sightseeing,300
2017,Entertainment,200
2017,Shopping,400
2017,Other,100
2018,Accommodation,2800
2018,Meal & Beverages,400
2018,Transport,200
2018,Sightseeing,300
2018,Entertainment,200
2018,Shopping,400
2018,Other,200
